donor,lobe,stage,N_hep,E_raw,gene,k_raw_pos,frac_raw_pos,M_raw,UMIs_per_10k
16,Right,NASH w/o cirrhosis,2149,19930344,ALDOB,2006,0.9334574220567706,14312,7.181010021703589
16,Right,NASH w/o cirrhosis,2149,19930344,HAL,852,0.39646347138203814,2830,1.419945385789628
16,Right,NASH w/o cirrhosis,2149,19930344,ASS1,1444,0.6719404374127501,4408,2.2117029189260355
16,Right,NASH w/o cirrhosis,2149,19930344,CPS1,2072,0.9641693811074918,24505,12.295322147976973
16,Right,NASH w/o cirrhosis,2149,19930344,ARG1,1366,0.6356444858073522,3235,1.6231531176782499
16,Right,NASH w/o cirrhosis,2149,19930344,FOS,14,0.006514657980456026,21,0.010536697209039643
16,Right,NASH w/o cirrhosis,2149,19930344,JUN,135,0.06281991624011168,160,0.08027959778315918
16,Right,NASH w/o cirrhosis,2149,19930344,JUNB,33,0.015355979525360632,35,0.01756116201506607
16,Right,NASH w/o cirrhosis,2149,19930344,JUND,104,0.04839460214053048,112,0.05619571844821143
16,Right,NASH w/o cirrhosis,2149,19930344,ATF3,70,0.03257328990228013,76,0.038132808947000614
16,Right,NASH w/o cirrhosis,2149,19930344,DUSP1,110,0.051186598417868774,127,0.0637219307403826
16,Right,NASH w/o cirrhosis,2149,19930344,HSPA1A,20,0.009306654257794323,20,0.010034949722894898
16,Right,NASH w/o cirrhosis,2149,19930344,HSPA1B,10,0.004653327128897162,10,0.005017474861447449
16,Right,NASH w/o cirrhosis,2149,19930344,ACTB,218,0.10144253140995813,256,0.1284473564530547
16,Right,NASH w/o cirrhosis,2149,19930344,GAPDH,226,0.10516519311307584,265,0.1329630838283574
16,Right,NASH w/o cirrhosis,2149,19930344,B2M,493,0.22940902745463007,663,0.33265858331396586
16,Right,NASH w/o cirrhosis,2149,19930344,ALB,2149,1.0,86441,43.371554449837895
16,Right,NASH w/o cirrhosis,2149,19930344,TTR,1724,0.8022335970218707,7124,3.574449091295163
16,Right,NASH w/o cirrhosis,2149,19930344,APOA1,1636,0.7612843182875756,4667,2.3416555178375247
16,Right,NASH w/o cirrhosis,2149,19930344,KRT7,4,0.0018613308515588647,5,0.0025087374307237245
16,Right,NASH w/o cirrhosis,2149,19930344,KRT19,4,0.0018613308515588647,4,0.0020069899445789795
16,Right,NASH w/o cirrhosis,2149,19930344,EPCAM,32,0.014890646812470917,36,0.018062909501210818
16,Right,NASH w/o cirrhosis,2149,19930344,SOX4,15,0.006979990693345742,16,0.008027959778315918
16,Right,NASH w/o cirrhosis,2149,19930344,KRT23,0,0.0,0,0.0
16,Right,NASH w/o cirrhosis,2149,19930344,NCAM1,26,0.01209865053513262,26,0.013045434639763367
16,Right,NASH w/o cirrhosis,2149,19930344,MUC1,9,0.004187994416007445,9,0.0045157273753027045
16,Right,NASH w/o cirrhosis,2149,19930344,BCL2,85,0.03955328059562587,108,0.054188728503632454
19,Right,NASH w/o cirrhosis,1387,12429120,CYP2E1,1185,0.8543619322278299,13909,11.19065549290698
19,Right,NASH w/o cirrhosis,1387,12429120,CYP1A2,441,0.3179524152847873,1052,0.8463994232898226
19,Right,NASH w/o cirrhosis,1387,12429120,ADH4,1366,0.9848594087959625,26090,20.991027522463376
19,Right,NASH w/o cirrhosis,1387,12429120,ADH1B,1298,0.935832732516222,13023,10.47781339306403
19,Right,NASH w/o cirrhosis,1387,12429120,AKR1D1,1096,0.7901946647440519,4703,3.783855976931593
19,Right,NASH w/o cirrhosis,1387,12429120,SLCO1B3,1078,0.7772170151405912,20284,16.31973945058057
19,Right,NASH w/o cirrhosis,1387,12429120,GLUL,282,0.20331651045421772,759,0.6106627017841971
19,Right,NASH w/o cirrhosis,1387,12429120,CYP3A4,740,0.5335255948089401,4391,3.5328325738266266
19,Right,NASH w/o cirrhosis,1387,12429120,LGR5,128,0.09228550829127613,316,0.2542416518627224
19,Right,NASH w/o cirrhosis,1387,12429120,AXIN2,66,0.047584715212689255,77,0.06195128858680261
19,Right,NASH w/o cirrhosis,1387,12429120,PCK1,652,0.4700793078586878,1716,1.3806287170773153
