"","logFC","logCPM","F","PValue","FDR"
"ADCY10",-0.880127478108379,6.24308349588249,10.2533275602471,0.00281741369320878,0.160942027172523
"IGF2BP2",1.34208255887339,3.30022285673718,10.0104585273684,0.00284081618343034,0.161652312399214
"BAIAP2",0.794799566152198,6.42783966761264,10.2199277719686,0.00285675637065007,0.161848305175609
"MTAP",-0.76819126424292,7.0746901721227,10.2059942370382,0.00287071423598078,0.161848305175609
"BOP1",1.51592436882784,2.94975839067071,9.93041549477912,0.00287981051896075,0.161848305175609
"EFHD1",-1.66481474335085,5.85706716485912,10.2905582889006,0.00288818728872202,0.161848305175609
"STX17-AS1",-0.907408027594037,4.61989006852524,10.1379978248753,0.00292631156230289,0.162969799383766
"KLHDC4",0.930738618004054,5.38108056899119,10.1480764110221,0.00293839134698728,0.162969799383766
"PDCD7",-0.793193793751791,5.71229880381876,10.15102767734,0.00294137377093783,0.162969799383766
"ISYNA1",2.00223686843319,2.59082852597218,9.76788931338622,0.00300032475445112,0.165613431577156
"AC020779.2",-5.2402280593707,2.19819325992003,9.80965960495481,0.00302730990341808,0.166165632956381
"MCF2L",0.777187204602502,5.22097402559352,10.0708374520086,0.00303287795258966,0.166165632956381
"MCTP2",1.48567132886217,5.48595376413205,10.1310287698946,0.0030615534936673,0.166491888244173
"SLC22A18AS",1.44654450251876,3.13092528067711,9.82307549864901,0.00308850732251781,0.166491888244173
"AC104532.2",-1.61474214302868,3.7721664926245,9.88814870444939,0.00310711401717553,0.166491888244173
"WARS2-AS1",-0.942420571935589,7.44186823359094,10.0096813413242,0.00311910478551808,0.166491888244173
"RFFL",0.54664011129529,7.07269726020981,10.0026819451,0.00312936696351245,0.166491888244173
"KPNA5",-0.924986200538303,4.48616229904224,9.96485332057463,0.00313365483451881,0.166491888244173
"SLC2A12",1.18094248813237,4.10617440691978,9.94483835937061,0.00313920822088499,0.166491888244173
"AC004797.1",-1.38079845818624,4.78354021405337,9.97996233521794,0.00313921746463069,0.166491888244173
"VTN",0.94004331721076,8.25865024928541,9.99125262121872,0.00314395890448484,0.166491888244173
"CROCC",0.700064970082961,4.61462142928229,9.95613982375975,0.00315293902890468,0.166491888244173
"CSK",1.08628464299839,4.43264453609614,9.90808896101862,0.00316309734756198,0.166491888244173
"EVC",1.8976254991193,4.9146307826708,10.0370656839496,0.00322442551582148,0.169115954634082
"AL021368.2",-0.994956626155102,4.73240607516733,9.89543049478279,0.00325023650493889,0.169781781230641
"TRIM22",1.12808833751941,5.12632521920218,9.90385474685254,0.0032601604076721,0.169781781230641
