axis,level,program,bin,coord_mid,mean_expr,sem,n_donors,slope
stage,End-stage,PP,11,1.135681259527008,0.6257016925408989,0.09640416630468655,5,-0.14476232406667652
stage,End-stage,PP,12,1.5517727774439234,0.6432524827791121,0.06238537862350395,5,-0.14476232406667652
stage,End-stage,PP,13,2.0862126457809085,0.6153917952136333,0.06733689758899454,4,-0.14476232406667652
stage,End-stage,PP,14,4.223182751106757,0.5329924997057687,0.06546417853103823,4,-0.14476232406667652
fibrosis,F0,PC,0,-4.467476349070802,0.5622175638303746,0.06558568595147446,5,0.12388718918767391
fibrosis,F0,PC,1,-1.9603769606098451,0.6401942697424782,0.06377288909485286,5,0.12388718918767391
fibrosis,F0,PC,2,-1.5156741757224914,0.6813153692165085,0.05442228091999315,5,0.12388718918767391
fibrosis,F0,PC,3,-1.1661194898716438,0.7041116046318318,0.04080488099677354,5,0.12388718918767391
fibrosis,F0,PC,4,-0.8643681640032277,0.76583271499462,0.0479771616832029,5,0.12388718918767391
fibrosis,F0,PC,5,-0.5880345642986102,0.7688278872518137,0.041982509103114705,5,0.12388718918767391
fibrosis,F0,PC,6,-0.32701056004417123,0.8336606252201724,0.03764213545963547,5,0.12388718918767391
fibrosis,F0,PC,7,-0.06861412787854097,0.8932800905250222,0.03032867720006124,5,0.12388718918767391
fibrosis,F0,PC,8,0.19818656918959845,0.9209112396328406,0.03828398578454673,5,0.12388718918767391
fibrosis,F0,PC,9,0.4762642226924544,0.9506909789265283,0.05783138114384174,5,0.12388718918767391
fibrosis,F0,PC,10,0.7823616059884713,1.0123900908076768,0.06673609376161278,5,0.12388718918767391
fibrosis,F0,PC,11,1.135681259527008,1.0682315699246936,0.05129220177948613,5,0.12388718918767391
fibrosis,F0,PC,12,1.5517727774439234,1.223126795220145,0.0291644943979419,4,0.12388718918767391
fibrosis,F0,PC,13,2.0862126457809085,1.3214773874501036,0.023674249349509985,4,0.12388718918767391
fibrosis,F0,PC,14,4.223182751106757,1.46183149324006,0.03313548302398162,4,0.12388718918767391
fibrosis,F0,PP,0,-4.467476349070802,1.5719143147676804,0.04192513710114628,5,-0.12222525784392946
fibrosis,F0,PP,1,-1.9603769606098451,1.4223436823601037,0.042998400712177566,5,-0.12222525784392946
fibrosis,F0,PP,2,-1.5156741757224914,1.325980147559323,0.028564100452324128,5,-0.12222525784392946
fibrosis,F0,PP,3,-1.1661194898716438,1.2360391148767644,0.021296798100025955,5,-0.12222525784392946
fibrosis,F0,PP,4,-0.8643681640032277,1.2022602971335492,0.028152600139050153,5,-0.12222525784392946
fibrosis,F0,PP,5,-0.5880345642986102,1.128705620778399,0.02979002143620316,5,-0.12222525784392946
fibrosis,F0,PP,6,-0.32701056004417123,1.0979820594637162,0.027793055737796342,5,-0.12222525784392946
fibrosis,F0,PP,7,-0.06861412787854097,1.0742216420940307,0.02628672762097124,5,-0.12222525784392946
fibrosis,F0,PP,8,0.19818656918959845,1.0218884852123988,0.02542755039101886,5,-0.12222525784392946
fibrosis,F0,PP,9,0.4762642226924544,0.9703406686273359,0.03339072494540129,5,-0.12222525784392946
fibrosis,F0,PP,10,0.7823616059884713,0.9145272995865614,0.05356644218384687,5,-0.12222525784392946
fibrosis,F0,PP,11,1.135681259527008,0.8749341108356837,0.024276976032074297,5,-0.12222525784392946
fibrosis,F0,PP,12,1.5517727774439234,0.8538456680320832,0.041249214482637485,4,-0.12222525784392946
