"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"FAM151A",-2.05430248439046,-2.27153019240199,-3.18863434534251,-2.78542438900755,1.78996541924633,6.72257364872721,0.000261954508211573,0.053997378560388
"AC093690.1",0.53655291336632,1.46407151180065,0.750604928452019,-0.893167027499869,0.985471260409678,6.56778747960033,0.000261998506952696,0.053997378560388
"LINC01756",4.04647776568015,6.62307441560896,4.48248132256484,3.51485910683466,-0.27003111953605,6.37245482631455,0.000275551004824496,0.0549951255602268
"KCNAB2",0.00274188135657276,0.706532876121693,1.98630734637147,2.35075492928716,4.28572835483597,6.92094058901387,0.000279676888487223,0.0549951255602268
"SLITRK3",0.294264947408309,-2.83403652662913,-1.59499559882292,-1.53029210062612,-0.465999112939354,6.25080415307197,0.000280873711586992,0.0549951255602268
"C9orf106",7.15518753841835,7.74204210658515,8.4861591526601,8.40507066410889,1.91237795387217,6.79851425824872,0.000281483398453418,0.0549951255602268
"AC093459.1",5.5142465548541,5.83665790416479,8.24561616587697,5.56250647436068,1.10431881486573,6.60196912489723,0.000281745024562754,0.0549951255602268
"ZNF430",1.31882238591626,2.35558570678749,2.59871219153848,2.30938794939882,2.72736277108853,6.85372738893761,0.000282536084126367,0.0549951255602268
"MMP14",2.22431358084482,2.49140733396324,2.1754821612534,3.36483509844309,1.53176390679499,6.60118525159325,0.000293228395694134,0.0565527278374503
"ANKRD29",0.451998895429054,1.4744158537329,1.40361706964625,2.45164330699345,3.18705128716381,6.8133551600338,0.000304859913128663,0.0582615008526432
"AC016910.1",4.86021169688172,7.34158357770786,6.12747126199932,5.01000558568835,0.443708471446849,6.3663901830195,0.000315001205292986,0.0587778565723873
"PDGFA",1.15710828519114,2.27142825824675,1.99132077626044,2.87617495634093,2.19962687634454,6.65124258835277,0.000318291605289042,0.0587778565723873
"LINC02763",1.78584628151207,1.33566963354806,2.46525288988461,2.97978761539593,4.00901519560034,6.78299532251813,0.000322290125343454,0.0587778565723873
"EFHD1",-0.411172409074883,-1.32013702015684,-1.93391820276657,-1.85138273470441,5.64287313247254,6.79341774796963,0.000323781747749471,0.0587778565723873
"SPATA21",1.36661635579396,2.72986839869275,2.49198483953717,2.98719310256239,3.37141306590033,6.76903058839901,0.000325574806757334,0.0587778565723873
"PPIE",-0.806234548486539,-0.424572813197501,-1.03386649004964,-0.521640910633629,4.5628583783722,6.78677712062827,0.000326581080751164,0.0587778565723873
"PARM1",-1.39727117405995,-0.584880945361687,1.48364026108336,-0.287617234541436,0.10052878616756,6.22820530035091,0.000327590698742254,0.0587778565723873
"AC018832.1",0.987103547379344,2.89989885295629,1.92011965253785,0.715075715399626,0.458576433249226,6.29184477853661,0.000329929934142408,0.0587778565723873
"A2M",1.27010987487369,1.76708428523686,2.54231780926025,2.61178742729957,8.87811571770838,6.76082579442394,0.000334165671601613,0.0590321911631018
"LINC00265",-0.293018997972486,0.411811807576692,0.450066176904556,1.26243762183484,2.19197786342181,6.59960692146614,0.00034135028238904,0.0597988803031866
"AC079949.6",2.0214324129265,3.62928074319417,2.38663281141727,-0.802928060273189,1.35841607081112,6.34719691569868,0.000347930684606402,0.0604479243950064
"LINC01205",-0.265972481838642,-1.4010350290404,-1.87200890505813,-2.1936972420719,4.42838132162393,6.65650259665395,0.000374193627752743,0.0644778560870342
"ZNF439",-0.0402233697931234,0.10101904770298,0.0466475833366033,1.42460618930174,1.32007565904646,6.39868942686469,0.000377775384672544,0.0645658059885058
"RNF187",-0.850752915437648,-0.414492545074506,-0.787522869333468,0.207386986657981,2.63332148249941,6.54837845271545,0.000381943980133896,0.064751825406248
"CMTM4",0.021720913246796,-0.0840260051398865,0.0746150210603378,0.609485363073851,5.10104268918228,6.61520787975774,0.000393279459951124,0.0661401664567402
"AL158136.1",4.99935089109813,7.47706759020566,6.34274991412228,0,0.543105255668183,6.38809330604408,0.000398611116465332,0.0665047848439224
"AC093677.2",0.0262664699122139,0.367017774376951,2.05034530460515,-4.30402613105564,-0.364756332744358,6.14306572000553,0.000405062995476793,0.0670490889048279
"ADGRG1",1.38213754312931,2.90865552635749,2.96105587796996,3.94669268541844,1.90274100774044,6.33878999629952,0.000411605956263474,0.067599846973209
"RAMP1",-1.21292166463793,-1.58718562556564,-2.34411487999569,-1.2725202680968,3.08267999568636,6.48115644410571,0.000418513953051114,0.0682015528762831
"ACSM1",0.139991811996127,0.852891156006321,1.54236476530196,2.56133912552217,4.41330215619874,6.51759251940908,0.000436795868162058,0.0706332518500214
"AC010623.1",-0.579210538933273,1.96915448147497,1.47399169073184,0.281716314200594,0.579174832223,6.08738212866028,0.000441653234170157,0.0708735441887407
"LINC02211",3.07339901275263,1.98121436897756,-0.0973646677736925,-2.33379569319153,2.07201679389947,6.16718685231665,0.0004487181240654,0.0711176350669336
"BACE2",1.55702307432221,1.92058929856495,3.14138303119653,3.22321078989745,3.00672399019917,6.42529612033761,0.000449940322704889,0.0711176350669336
"AC011491.3",-1.74259351054371,-2.49265020916419,-1.96372903442115,-1.56708300229658,2.15479700099146,6.32489656234781,0.000454758569063709,0.0711291391587631
"AC010333.2",0.6955936497813,2.32802429979764,2.45553501962941,2.86915868107876,2.85767098603927,6.41023368455231,0.000456962495948399,0.0711291391587631
"SUSD3",-1.1671416957894,-1.52243291597389,-1.47696129064635,-0.486322083197348,3.26606634149401,6.42732239614755,0.000460479288022292,0.0711291391587631
"ACER1",-1.93826595163303,-2.44402105967945,-2.25624669319341,-1.86493141669075,2.93522110249634,6.3850043219896,0.000463547334447271,0.0711291391587631
"FAM83F",0.670272615977395,1.50372673105823,1.94837794094343,2.79064600613873,3.16031259687931,6.40568006302347,0.000475006575741283,0.0719634444223863
"AL451127.2",-0.161623493181079,-1.69763599739277,-2.18667534779602,-2.8426920025522,0.0937630787190474,5.97076387072655,0.000475830975868695,0.0719634444223863
"AL109838.1",1.35314750743514,-1.02853006121678,-0.282449951880731,-1.75251396320231,1.10212576856159,6.08667712773982,0.0004844342598262,0.0725384563266334
"PTGDS",-0.359466271029156,0.483074207222337,-0.440528189967026,2.68022457547801,0.926466190639999,6.06366957515172,0.000491598201223395,0.0725384563266334
"PTPRD",0.205446434583397,-0.19500904927242,-0.11443203249119,-0.87419686058569,6.97503773323233,6.40820087569952,0.000492083888686294,0.0725384563266334
"CA12",4.91414472132191,8.45306330947619,7.50053656583202,7.88398419480475,1.64288149079709,6.19347271358359,0.000493435413124754,0.0725384563266334
"LINC00589",2.35883715655029,3.31613391572106,4.06225234774321,4.51368753701014,1.40439810814431,6.12008620125052,0.000511582956474256,0.0746840063264015
"AC093916.1",1.52366718639641,0.704654168874506,2.4179817411133,3.20827621555686,2.41585924451258,6.2481341165321,0.000517146972878404,0.0748533666251015
"MCTP2",0.483446295724117,0.450376635887158,1.39238396147211,1.83863518103427,5.25094395502682,6.35953264519034,0.000520797634652465,0.0748533666251015
"DTNA",3.21143277943653,4.16278886062085,4.52866178562382,4.88529505812974,7.0920609479394,6.35276207003388,0.000523425216149269,0.0748533666251015
"LINC00332",-1.56572604850818,-0.721997066342292,1.14505140814367,-4.69533473280239,-0.793471250321384,5.8168127054325,0.000541858426268308,0.0759067206871847
"ADGRV1",-0.193456067272478,-0.218022294805372,-0.0213363675297032,-1.24513046890343,5.98091917551806,6.32132032907039,0.000542349733809574,0.0759067206871847
"ENPP3",-0.584961927754233,-0.940525333032365,-1.55417039414645,-1.95199856678223,4.13551307581381,6.31855787320556,0.000543138525107574,0.0759067206871847
"ZNF295-AS1",0.811684339578474,0.749937771326263,2.46460971349707,0.66593258844984,1.53984034478447,6.12852651028011,0.00054523426999167,0.0759067206871847
"PELI2",0.32597346508265,-1.0002200782294,-1.68177227027577,-1.86442283830588,2.81341556637271,6.19884681944626,0.00055122105802754,0.0762353229069404
"DPPA4",-0.498611136323714,-1.08426384656512,-2.17067771545322,-2.86460707024118,0.431340723046786,5.84258165285577,0.000582016286254162,0.0795020270153419
"AC006041.2",1.4308146597342,1.11129852891076,1.60837376670126,-1.0402286549223,1.19103348262449,5.94465664834985,0.00058370601825414,0.0795020270153419
"REEP1",0.553700993438941,1.23065963396519,0.495702129098575,1.6943436607792,1.46882006969619,6.03424633540658,0.000586186575367615,0.0795020270153419
"BEGAIN",-2.35776775756759,-2.29214251420374,-3.02547943254716,-1.78480610664147,-0.0498176431862854,5.78709459130199,0.000609906806373308,0.0816949733812623
"SYT8",4.8308870041133,4.20418536033868,0,6.89017231756987,-0.714217757441367,6.20137640686896,0.000612939382227557,0.0816949733812623
"AC009509.1",6.10445302949044,7.0678285928946,4.98707535959629,0,0.328186844359164,5.96370776337385,0.000614014165837667,0.0816949733812623
