signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
unsupervised,C1orf112,other,-0.3475542051800538,5.034553915591223e-14,-0.1794068552965449,0.6951691244769264,-0.0204850176529823,1.0
unsupervised,MGLL,other,-0.3419033102083877,2.0905146698895752e-10,0.0873482797409047,0.9389275146679368,0.0931995661304127,0.9169336402427264
unsupervised,ARMH1,other,-0.3390698079150246,6.72032612586972e-13,-0.3117800215018335,0.3645942733673268,-0.5509162194333986,0.0293082254169687
unsupervised,ACMSD,other,-0.3363241512148957,1.4481232873698305e-12,-0.0264607794298379,1.0,-0.232163533400467,0.5422237947128009
unsupervised,CTNND2,other,-0.3329719350524824,1.566186181555723e-05,-0.0183562998662488,1.0,0.195253126174965,0.6357790811544098
unsupervised,NRP1,other,-0.3325222820606927,2.0914363310767667e-10,-0.1617432459912867,0.7470331759245179,0.2323088172136087,0.5419520869204306
unsupervised,PKHD1,other,-0.3307860485830177,2.1957265783604026e-07,0.3980892654012525,0.1850803509789277,0.2713901629487311,0.4401706835425155
unsupervised,HAMP,acute_phase_secreted,-0.3276534607090423,8.384363900873586e-09,-0.4779564870834596,0.0704271836459101,-0.5439425964025961,0.0322576133922604
unsupervised,SCART1,other,-0.3267545441886842,3.161755711133146e-12,-0.2680712471033317,0.4646321187120026,-0.2370383488565505,0.5308358743813412
unsupervised,UROC1,other,-0.3264667190662755,1.0930175736643358e-06,-0.1018255124656066,0.8990700117415515,-0.2402267850298324,0.5214050833134142
unsupervised,BBOX1,other,-0.3242736634694161,5.410019277013142e-10,-0.3273655591241202,0.3322372437176767,-0.4030172976551286,0.1814661600985922
unsupervised,GPHN,other,-0.32424937512671,3.291890421953858e-13,-0.0184255689223478,1.0,0.1611923906807372,0.733613742347452
unsupervised,KCNJ3,other,-0.3177138282169099,3.190030184911413e-07,-0.3581210200320994,0.2613842996857445,-0.5722002980586605,0.0215934339584812
unsupervised,HAL,urea_nitrogen,-0.3169376376731013,2.0010562019117007e-10,0.2150804191875568,0.5950778715695583,0.0508493345996016,1.0
unsupervised,ABCD3,other,-0.3023595751073276,5.1492781899006223e-08,0.2513774045834601,0.5043432522948921,0.3723624130822259,0.2306073428800459
unsupervised,SLC22A3,other,-0.2961492496571186,9.274599728869261e-14,0.1109690278706814,0.8745105237914695,0.1207308487207685,0.8447163027326916
unsupervised,PARD3B,other,-0.2939406391352414,9.050917131233322e-06,0.2677941708789355,0.4646321187120026,0.3313923777762612,0.304617102887731
unsupervised,PITPNC1,other,-0.2745336160095981,0.000511254036729,-0.2930081072989904,0.4042393529388718,-0.0545540718347155,1.0
unsupervised,ASPG,other,-0.2676681583456645,7.484167447631886e-07,-0.4265588474579629,0.1367771223505882,-0.5339906552023883,0.0382691150779353
unsupervised,HAO2,other,-0.2640688100665038,7.876348279504244e-11,-0.2695258972814117,0.4611343853017388,-0.3555094907577865,0.2580959875463622
unsupervised,FAM9B,other,-0.2510112348049963,1.9396833870062864e-08,0.3026365060967587,0.3835929850336438,-0.1151048923577089,0.8605318712047635
unsupervised,HMGCS2,other,-0.248242724231381,1.619393289792784e-06,-0.3341539266218273,0.3162691930916924,-0.4564817408912812,0.1067022884575022
unsupervised,SDS,urea_nitrogen,-0.2464413112762069,2.151370783621714e-07,0.2302503424732492,0.5524176459791132,0.0868070783521771,0.9306449278098888
unsupervised,RGL1,other,-0.2430677300698665,3.635017924413558e-09,0.3209928059630075,0.3458057692427855,0.4463845158779317,0.1197310642549938
unsupervised,SULT2A1,other,-0.2319542924440309,1.566186181555723e-05,0.2131408856167833,0.6000370418674333,0.2173445844600116,0.57948183702789
unsupervised,LRMDA,other,-0.2317980291779471,5.3254458882935835e-11,-0.0302705775152857,1.0,0.0193953890544194,1.0
unsupervised,AOX1,cyp_xenobiotic,-0.2258004194910414,1.5966046238418103e-05,-0.2706342021789966,0.4588257997193301,0.0618909043983723,0.9962067924917613
unsupervised,GPLD1,other,-0.2222375096268978,3.35467001677112e-07,0.0985698668289511,0.9085217404944264,-0.1855274293819752,0.6634037086600579
unsupervised,CYP3A4,cyp_xenobiotic,-0.2179389273416725,2.315336348479304e-06,0.1026567411387952,0.8968899050656646,0.2446579413306548,0.5099740270551509
unsupervised,PLPP1,other,-0.2147882583962485,2.048186335269795e-09,0.4102113502185865,0.1628613847904026,0.3753407312516311,0.227461148896429
unsupervised,AHR,other,-0.2062610673845466,2.8615494162383636e-11,0.1022411268022009,0.8981601192892043,0.4080295892085179,0.1725384057205353
unsupervised,CAMK1D,other,-0.1948526982736417,2.877334912095863e-06,-0.2741669240400483,0.4499191508321168,-0.0315992293583238,1.0
unsupervised,ITIH4,other,-0.1908237602595429,7.122809979726385e-09,-0.0858936295628246,0.9430951251021736,-0.0621088301180848,0.9955918095511902
unsupervised,CYP2E1,cyp_xenobiotic,-0.1754874067222495,3.9405956916987176e-08,-0.3156590886433804,0.3556700030342539,-0.1777547453788932,0.6857032262688453
unsupervised,TMEM45B,other,-0.1478782114449409,3.783956203944894e-05,0.4705446980808609,0.0764171975395116,0.3194791050986402,0.3292701340415175
unsupervised,ABCB4,bile_acid_transport,-0.0847043559864371,2.4601879539183327e-05,0.3490467736831236,0.2813317966034338,0.3284867015134268,0.3117812108380379
unsupervised,IL1RAPL2,other,-0.083442849207109,6.315998959912962e-05,-0.0147543089490981,1.0,0.0164170708850142,1.0
unsupervised,GRIN2B,other,-0.077793331125619,8.534227539825112e-05,-0.1432181897782826,0.7900858898780709,-0.2476452005970528,0.5042241063077986
unsupervised,SLC22A10,other,-0.0348314661624305,0.0423468044234394,-0.199425612509171,0.6379273155360934,-0.1941718162639075,0.6395123367797099
unsupervised,CYP2A7,cyp_xenobiotic,-0.0254451369875575,0.00717160452723,0.1429713317884435,0.7906031552015897,0.1452111712351481,0.7797120512560973
unsupervised,TXNL4B,other,-0.0194926342228202,0.1749980562482531,-0.2363460194099658,0.5357513595667519,-0.1967142829938876,0.6305771020106311
unsupervised,COL10A1,other,0.0335788816314434,0.0048476975837849,-0.0633811863306327,0.9989839598621488,-0.0871817750416847,0.9293676709352352
unsupervised,RERGL,other,0.0890926151288306,6.105828090605614e-05,-0.0076888652269947,1.0,0.1224056444447709,0.8393149925896154
unsupervised,FFAR4,other,0.0970443211225365,0.0001609118571216,-0.0821531005334758,0.9531833968474466,-0.2170099683745935,0.581216143101825
unsupervised,GRIN3A,other,0.1243903926871955,2.8767803946586008e-05,-0.2948091027575658,0.3998829795005487,-0.2789816801333911,0.4214301221937265
