gene,loading
PTPRJ,-0.009209288284182549
LRRC28,-0.00920889712870121
NT5DC3,-0.009200097061693668
SEMA4G,-0.009193584322929382
TBC1D19,-0.009182486683130264
TNFRSF14,-0.009180302731692791
TAF6L,-0.009160312823951244
ZNF644,-0.009158005006611347
GRM8,-0.009149352088570595
SULT2A1,-0.009143548086285591
DNAH6,-0.009139097295701504
CTH,-0.009125569835305214
HYOU1,-0.009105646051466465
RAB11B,-0.009081115946173668
CDK11A,-0.009057552553713322
PIK3R1,-0.009034297429025173
ANKRD37,-0.00903038028627634
DECR1,-0.009023410268127918
TAPBPL,-0.009000353515148163
FNBP1,-0.008984070271253586
RBFA,-0.008971565403044224
HEATR3,-0.00895625725388527
PRDX4,-0.008946312591433525
DTWD2,-0.008924410678446293
ZCCHC24,-0.008923288434743881
CRYZ,-0.008906173519790173
PUF60,-0.008887146599590778
PRKRA,-0.008879130706191063
HELZ,-0.008854013867676258
LMLN,-0.008851254358887672
TGM2,-0.008849595673382282
SRD5A2,-0.008834919892251492
ZNF281,-0.008830225095152855
VPS54,-0.008790455758571625
CHIC2,-0.008780338801443577
XPO7,-0.008764171972870827
ARAF,-0.008760790340602398
ALDH8A1,-0.008755991235375404
KLB,-0.008752412162721157
KLHL2,-0.008748826570808887
SAMD12,-0.008744870312511921
ZNF76,-0.008741805329918861
FAM221A,-0.008725758641958237
ATOH8,-0.008696802891790867
SLC19A2,-0.00869627296924591
SP3,-0.008694286458194256
MOSPD2,-0.008689663372933865
ACAD11,-0.008684754371643066
THPO,-0.00867196824401617
MYCBP2,-0.008660008199512959
KCND3,-0.00865403562784195
NF1,-0.008651195093989372
ADAMTS10,-0.008641806431114674
PLIN4,-0.008637528866529465
CYP7A1,-0.008634058758616447
NOL11,-0.008616751991212368
MTFR1,-0.008615370839834213
RAPGEF2,-0.008610875345766544
SLC39A6,-0.008607616648077965
MMADHC,-0.008595386520028114
GLYAT,-0.008592801168560982
JMJD1C,-0.008587691001594067
SLC1A1,-0.008585179224610329
SMIM12,-0.008579428307712078
C2orf72,-0.008575694635510445
ADGRG6,-0.008556202054023743
CAPN12,-0.00855022668838501
OSGEP,-0.008517985232174397
CHRNA4,-0.008517764508724213
LRPPRC,-0.008514933288097382
FBXW5,-0.008514038287103176
CCDC125,-0.008513943292200565
TCF7L2,-0.008496302179992199
SGSM2,-0.008494384586811066
CLDN1,-0.008480013348162174
ASPDH,-0.008476883172988892
LARP1,-0.008440330624580383
ERICH1,-0.008427639491856098
TIPARP,-0.008418118581175804
LIMCH1,-0.00841711275279522
TMEM143,-0.008413023315370083
APOC1,-0.008412436582148075
TM2D1,-0.0084053510800004
EPB41L5,-0.00840279832482338
CTBS,-0.00839688815176487
MAEA,-0.008386990986764431
PLCXD1,-0.008382881060242653
TANK,-0.008371090516448021
SMARCAD1,-0.008367463946342468
USP45,-0.008359430357813835
FETUB,-0.008358774706721306
TRAPPC8,-0.008358234539628029
SESN2,-0.008355226367712021
HACD2,-0.008352098055183887
EDEM2,-0.008347945287823677
MROH1,-0.008346106857061386
PKN2,-0.008325429633259773
DSP,-0.008324199356138706
BTG1,-0.00832404475659132
CLRN3,-0.00832386501133442
ZDHHC23,-0.008323047310113907
CA13,-0.008291340433061123
SLC30A9,-0.008287559263408184
ATP2A2,-0.0082850968465209
PNPLA8,-0.008280674926936626
PDIA3,-0.008279306814074516
RNPC3,-0.00827793963253498
CYP21A2,-0.008271751925349236
KLHL24,-0.008271594531834126
ERN1,-0.008268862031400204
PKD1L3,-0.008255315944552422
PLEKHA2,-0.008226707577705383
TMEM87A,-0.00822270754724741
DHODH,-0.008219488896429539
CEBPD,-0.008212944492697716
ZNF18,-0.008186071179807186
PPP2R2A,-0.008177090436220169
PGM3,-0.00817616656422615
NOXA1,-0.008150782436132431
WWP1,-0.008133378811180592
PRKAG2,-0.008114863187074661
EIPR1,-0.00811276026070118
RCOR3,-0.008109044283628464
LIAS,-0.008084961213171482
GALNT2,-0.008050570264458656
STRBP,-0.008043073117733002
RBM14,-0.008024456910789013
DAB1,-0.008018913678824902
DNAJC10,-0.00801303144544363
CYP4F11,-0.008001094684004784
RHOU,-0.007998162880539894
IPPK,-0.00798761285841465
C1S,-0.007976766675710678
MPRIP,-0.007971120066940784
OPLAH,-0.007969207130372524
LYSMD3,-0.007958073168992996
SHROOM3,-0.007928166538476944
DHX36,-0.007898073643445969
RRBP1,-0.00789176020771265
CCDC66,-0.007874179631471634
DLGAP2,-0.007870684377849102
ABCA9,-0.007855740375816822
USO1,-0.007848229259252548
AGFG1,-0.00784280989319086
ZFP36,-0.00784238614141941
PHYKPL,-0.007841921411454678
SLC16A2,-0.007841037586331367
STT3B,-0.007838099263608456
CDH1,-0.007827534340322018
PRPF39,-0.007822093553841114
