set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,RASSF7,True,True,True,True
full,pericentral,TRIM25,True,True,True,True
full,pericentral,DCUN1D4,True,True,True,True
full,pericentral,IQGAP2,True,True,True,True
full,pericentral,EPB41L4B,True,True,True,True
full,pericentral,LLGL2,True,True,True,True
full,pericentral,NIT2,True,True,True,True
full,pericentral,TBC1D2B,True,True,True,True
full,pericentral,PIGL,True,True,True,True
full,pericentral,UPB1,True,True,True,True
full,pericentral,ZDHHC8,True,True,True,True
full,pericentral,ZXDC,True,True,True,True
full,pericentral,SETD5,True,True,True,True
full,pericentral,PER3,True,True,True,True
full,pericentral,IDH3B,True,True,True,True
full,pericentral,ALDH3A2,True,True,True,True
full,pericentral,TNFRSF10B,True,True,True,True
full,pericentral,INF2,True,True,True,True
full,pericentral,CFLAR,True,True,True,True
full,pericentral,GRAMD4,True,True,True,True
full,pericentral,ABCG5,True,True,True,True
full,pericentral,LSS,True,True,True,True
full,pericentral,COQ8A,True,True,True,True
full,pericentral,PPP6R2,True,True,True,True
full,pericentral,SLC17A9,True,True,True,True
full,pericentral,LENG8,True,True,True,True
full,pericentral,KLF9,True,True,True,True
full,pericentral,FERMT2,True,True,True,True
full,pericentral,LIMD1,True,True,True,True
full,pericentral,OGFR,True,True,True,True
full,pericentral,CLK4,True,True,True,True
full,pericentral,YTHDC1,True,True,True,True
full,pericentral,INPP5B,True,True,True,True
full,pericentral,NQO2,True,True,True,True
full,pericentral,SHPK,True,True,True,True
full,pericentral,PDZK1,True,True,True,True
full,pericentral,AKR1D1,True,True,True,True
full,pericentral,IGSF9,True,True,True,True
full,pericentral,STAG1,True,True,True,True
full,pericentral,PBLD,True,True,True,True
full,pericentral,SRCAP,True,True,True,True
full,pericentral,CGN,True,True,True,True
full,pericentral,CNST,True,True,True,True
full,pericentral,APOA5,True,True,True,True
full,pericentral,MOGAT2,True,True,True,True
full,pericentral,INTS11,True,True,True,True
full,pericentral,F13B,True,True,True,True
full,pericentral,TAPT1,True,True,True,True
full,pericentral,CALCOCO2,True,True,True,True
full,pericentral,VPS45,True,True,True,True
full,pericentral,CDO1,True,True,True,True
full,pericentral,LPIN3,True,True,True,True
full,pericentral,KDM4B,True,True,True,True
full,pericentral,ITGA5,True,True,True,True
full,pericentral,DIDO1,True,True,True,True
full,pericentral,MCEE,True,True,True,True
full,pericentral,ACSM5,True,True,True,True
full,pericentral,PILRB,True,True,True,True
full,pericentral,PICALM,True,True,True,True
full,pericentral,MLLT6,True,True,True,True
full,pericentral,OGT,True,True,True,True
full,pericentral,ITFG2,True,True,True,True
