cell_type,source,donor,program,nCells,dm_mean,det2
Hepatocytes,biopsy,52,HSP,148,0.0,0.0
Hepatocytes,biopsy,52,HIF,148,0.8389,0.6419
Hepatocytes,biopsy,53,IEG,105,0.1023,0.0381
Hepatocytes,biopsy,53,HSP,105,0.0,0.0
Hepatocytes,biopsy,53,HIF,105,0.8485,0.4
Hepatocytes,biopsy,54,IEG,838,0.066,0.0573
Hepatocytes,biopsy,54,HSP,838,0.0033,0.0
Hepatocytes,biopsy,54,HIF,838,0.6986,0.6671
Hepatocytes,biopsy,55,IEG,646,0.0742,0.065
Hepatocytes,biopsy,55,HSP,646,0.0065,0.0
Hepatocytes,biopsy,55,HIF,646,0.7182,0.7307
Hepatocytes,biopsy,56,IEG,505,0.1005,0.0851
Hepatocytes,biopsy,56,HSP,505,0.002,0.0
Hepatocytes,biopsy,56,HIF,505,0.8955,0.7921
Hepatocytes,biopsy,57,IEG,470,0.1056,0.0745
Hepatocytes,biopsy,57,HSP,470,0.0131,0.0021
Hepatocytes,biopsy,57,HIF,470,0.5886,0.5745
Hepatocytes,biopsy,6,IEG,2811,0.0507,0.0559
Hepatocytes,biopsy,6,HSP,2811,0.0113,0.0036
Hepatocytes,biopsy,6,HIF,2811,0.5821,0.7236
Hepatocytes,biopsy,60,IEG,903,0.0381,0.0078
Hepatocytes,biopsy,60,HSP,903,0.0078,0.0
Hepatocytes,biopsy,60,HIF,903,1.0655,0.5958
Hepatocytes,biopsy,62,IEG,408,0.0712,0.0172
Hepatocytes,biopsy,62,HSP,408,0.0053,0.0025
Hepatocytes,biopsy,62,HIF,408,0.9244,0.3873
Hepatocytes,biopsy,64,IEG,750,0.075,0.0867
Hepatocytes,biopsy,64,HSP,750,0.0028,0.0
Hepatocytes,biopsy,64,HIF,750,0.7017,0.74
Hepatocytes,biopsy,67,IEG,1496,0.0509,0.0167
Hepatocytes,biopsy,67,HSP,1496,0.0091,0.0
Hepatocytes,biopsy,67,HIF,1496,0.7569,0.5896
Hepatocytes,biopsy,68,IEG,518,0.1221,0.0579
Hepatocytes,biopsy,68,HSP,518,0.0132,0.0019
Hepatocytes,biopsy,68,HIF,518,1.0058,0.6332
Hepatocytes,biopsy,7,IEG,2096,0.0681,0.0468
Hepatocytes,biopsy,7,HSP,2096,0.015,0.0067
Hepatocytes,biopsy,7,HIF,2096,0.6467,0.6856
Hepatocytes,biopsy,70,IEG,243,0.0977,0.1399
Hepatocytes,biopsy,70,HSP,243,0.0031,0.0041
Hepatocytes,biopsy,70,HIF,243,0.5782,0.8148
Hepatocytes,biopsy,71,IEG,137,0.2096,0.0292
Hepatocytes,biopsy,71,HSP,137,0.0,0.0
Hepatocytes,biopsy,71,HIF,137,1.1717,0.4891
Hepatocytes,biopsy,72,IEG,676,0.1226,0.1405
Hepatocytes,biopsy,72,HSP,676,0.0114,0.0104
Hepatocytes,biopsy,72,HIF,676,0.5517,0.6834
Hepatocytes,biopsy,73,IEG,1071,0.0422,0.043
Hepatocytes,biopsy,73,HSP,1071,0.0022,0.0019
Hepatocytes,biopsy,73,HIF,1071,0.4236,0.5696
Hepatocytes,biopsy,75,IEG,444,0.0693,0.0676
Hepatocytes,biopsy,75,HSP,444,0.0041,0.0023
Hepatocytes,biopsy,75,HIF,444,0.7737,0.8266
Hepatocytes,biopsy,76,IEG,718,0.0526,0.0836
Hepatocytes,biopsy,76,HSP,718,0.0029,0.0056
Hepatocytes,biopsy,76,HIF,718,0.6823,0.8733
Hepatocytes,biopsy,77,IEG,762,0.046,0.0407
Hepatocytes,biopsy,77,HSP,762,0.0032,0.0013
Hepatocytes,biopsy,77,HIF,762,0.5639,0.6719
Hepatocytes,biopsy,78,IEG,1121,0.0351,0.0161
Hepatocytes,biopsy,78,HSP,1121,0.0023,0.0018
Hepatocytes,biopsy,78,HIF,1121,0.5832,0.5781
Hepatocytes,biopsy,8,IEG,2876,0.0448,0.0435
Hepatocytes,biopsy,8,HSP,2876,0.0034,0.0024
Hepatocytes,biopsy,8,HIF,2876,0.5058,0.6992
Hepatocytes,biopsy,83,IEG,225,0.1381,0.0978
Hepatocytes,biopsy,83,HSP,225,0.0029,0.0
Hepatocytes,biopsy,83,HIF,225,0.8038,0.4933
Hepatocytes,biopsy,84,IEG,301,0.0503,0.0399
Hepatocytes,biopsy,84,HSP,301,0.0052,0.0
Hepatocytes,biopsy,84,HIF,301,0.5521,0.6512
Hepatocytes,biopsy,9,IEG,2917,0.0233,0.011
Hepatocytes,biopsy,9,HSP,2917,0.0044,0.0003
Hepatocytes,biopsy,9,HIF,2917,0.5141,0.5348
Hepatocytes,explant,CL103,IEG,2065,1.0018,0.8058
Hepatocytes,explant,CL103,HSP,2065,0.1851,0.2363
Hepatocytes,explant,CL103,HIF,2065,0.9441,0.8131
Hepatocytes,explant,CL104,IEG,1960,1.1609,0.5974
Hepatocytes,explant,CL104,HSP,1960,0.5909,0.2556
Hepatocytes,explant,CL104,HIF,1960,1.6768,0.7485
Hepatocytes,explant,CL16,IEG,6117,2.3858,0.8583
Hepatocytes,explant,CL16,HSP,6117,0.6254,0.4159
Hepatocytes,explant,CL16,HIF,6117,2.0388,0.8857
Hepatocytes,explant,CL17,IEG,4305,0.6951,0.5603
Hepatocytes,explant,CL17,HSP,4305,0.2133,0.1517
Hepatocytes,explant,CL17,HIF,4305,0.6283,0.5821
Hepatocytes,explant,CL18,IEG,8650,1.0,0.7203
Hepatocytes,explant,CL18,HSP,8650,0.5212,0.3128
Hepatocytes,explant,CL18,HIF,8650,0.6114,0.5889
Hepatocytes,healthy,30,IEG,964,0.0184,0.0145
Hepatocytes,healthy,30,HSP,964,0.0044,0.001
Hepatocytes,healthy,30,HIF,964,0.5,0.8475
Hepatocytes,healthy,98,IEG,297,0.0652,0.0976
Hepatocytes,healthy,98,HSP,297,0.0072,0.0168
Hepatocytes,healthy,98,HIF,297,0.5571,0.8215
Hepatocytes,healthy,HL1,IEG,1640,0.3119,0.3232
Hepatocytes,healthy,HL1,HSP,1640,0.4457,0.4177
Hepatocytes,healthy,HL1,HIF,1640,1.0639,0.7579
Hepatocytes,healthy,HL2,IEG,849,0.2469,0.2191
Hepatocytes,healthy,HL2,HSP,849,0.0281,0.0094
Hepatocytes,healthy,HL2,HIF,849,1.0821,0.7326
Lymphocytes,biopsy,11,IEG,9,,0.2222
Lymphocytes,biopsy,11,HSP,9,,0.0
Lymphocytes,biopsy,11,HIF,9,,0.0
Lymphocytes,biopsy,12,IEG,3,1.0,0.0
Lymphocytes,biopsy,12,HSP,3,0.0,0.0
Lymphocytes,biopsy,12,HIF,3,0.0,0.3333
Lymphocytes,biopsy,15,IEG,8,0.0,0.0
Lymphocytes,biopsy,15,HSP,8,0.0,0.0
Lymphocytes,biopsy,15,HIF,8,0.125,0.0
Lymphocytes,biopsy,16,IEG,49,0.0345,0.0
Lymphocytes,biopsy,16,HSP,49,0.0,0.0
Lymphocytes,biopsy,16,HIF,49,0.2155,0.0204
Lymphocytes,biopsy,19,IEG,10,0.1562,0.0
Lymphocytes,biopsy,19,HSP,10,0.0,0.0
Lymphocytes,biopsy,19,HIF,10,0.2812,0.1
Lymphocytes,biopsy,20,IEG,52,0.0526,0.0
Lymphocytes,biopsy,20,HSP,52,0.0,0.0
Lymphocytes,biopsy,20,HIF,52,0.4079,0.0962
Lymphocytes,biopsy,21,IEG,69,0.05,0.0
Lymphocytes,biopsy,21,HSP,69,0.0111,0.0
Lymphocytes,biopsy,21,HIF,69,0.5444,0.1884
Lymphocytes,biopsy,22,IEG,21,0.2188,0.0476
Lymphocytes,biopsy,22,HSP,21,0.0625,0.0
Lymphocytes,biopsy,22,HIF,21,0.75,0.2857
Lymphocytes,biopsy,3,IEG,10,0.0,0.0
Lymphocytes,biopsy,3,HSP,10,0.0,0.0
