signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
paper2_full,HSD17B13,lipid_metabolism,-0.2988709484681837,1.575206746559731e-07,0.2014344151360435,0.6324631370654985,0.045982326859354,1.0
paper2_full,FBP1,other,-0.297889796198566,2.0568498473605942e-10,0.1294638658491284,0.824965778574435,-0.1714348995072284,0.7044739524879546
paper2_full,MGLL,other,-0.2939130226522811,0.0001022527295276,0.0873482797409047,0.9389275146679368,0.0931995661304127,0.9169336402427264
paper2_full,KNG1,other,-0.2934258985778422,5.137249034084304e-07,-0.2384933601490364,0.5322225846437114,-0.2122596510000515,0.5928577154957966
paper2_full,ACMSD,other,-0.2928669437522692,6.8503722899800135e-09,-0.0264607794298379,1.0,-0.232163533400467,0.5422237947128009
paper2_full,AGRN,other,-0.2919126687365225,4.5666962448971503e-08,0.0518132539620909,1.0,-0.1541461257433639,0.7520994807148724
paper2_full,DMD,other,-0.2913262787483318,0.0002118193581524,-0.2204834055632828,0.5784236776079328,-0.1290846679764173,0.8200285417453858
paper2_full,AGMO,other,-0.290984754909056,1.099850468631046e-05,-0.1829395771575966,0.6836480511241172,-0.150949881854246,0.7621061873385849
paper2_full,RHBG,wnt_pericentral_identity,-0.2905823074346434,2.8031593262046055e-10,-0.0919893064995412,0.9263670340869395,0.0780067848711667,0.9535925949750192
paper2_full,CCDC198,other,-0.2894943853786311,5.4567020107910137e-05,0.0286081201689085,1.0,0.1460828741139985,0.7761655190030259
paper2_full,ACOX2,other,-0.2894023304354301,3.383982963324006e-05,-0.3693426071201459,0.2405641848868196,-0.2706637438830225,0.4418509308275416
paper2_full,REEP6,other,-0.2879294513442134,5.8215863720191596e-09,-0.0754340020918677,0.9692184897164716,0.1541461257433639,0.7520994807148724
paper2_full,TMEM14A,other,-0.2877474658026544,5.8215863720191596e-09,-0.2329518356611122,0.5451499494593337,-0.4504524626458999,0.1115462194578908
paper2_full,ZFYVE28,other,-0.2877241688208751,2.679064777271073e-07,-0.392270664688932,0.1955209543894755,-0.277710008820396,0.4241306462346353
