donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
20,NASH w/o cirrhosis,HSPA1A,2811,0.011,0.0107,0.0004,0.0036,0.0004
20,NASH w/o cirrhosis,HSPA1B,2811,0.0043,0.0039,0.0004,0.0012,0.0004
20,NASH w/o cirrhosis,GLUL,2811,0.2924,0.1327,0.0527,0.0712,0.0238
20,NASH w/o cirrhosis,CYP3A4,2811,0.9381,0.3013,0.158,0.2534,0.091
20,NASH w/o cirrhosis,CYP2E1,2811,6.9975,0.8919,0.7887,1.945,0.7189
20,NASH w/o cirrhosis,CYP1A2,2811,0.3842,0.2195,0.0843,0.1097,0.037
20,NASH w/o cirrhosis,ADH4,2811,6.0953,0.8776,0.7474,1.634,0.6713
20,NASH w/o cirrhosis,AKR1D1,2811,0.8524,0.4372,0.2035,0.239,0.0808
20,NASH w/o cirrhosis,SLCO1B3,2811,5.6809,0.6279,0.4607,1.4168,0.3993
20,NASH w/o cirrhosis,ASS1,2811,0.7335,0.4333,0.1754,0.2195,0.0714
20,NASH w/o cirrhosis,CPS1,2811,5.1515,0.8929,0.7321,1.4022,0.6203
20,NASH w/o cirrhosis,PCK1,2811,0.6375,0.3376,0.1316,0.1754,0.0567
20,NASH w/o cirrhosis,ALDOB,2811,2.4578,0.7602,0.5251,0.6983,0.3094
20,NASH w/o cirrhosis,HAL,2811,0.4536,0.2615,0.0993,0.1397,0.0468
20,NASH w/o cirrhosis,ARG1,2811,1.1572,0.5674,0.2853,0.326,0.1179
20,NASH w/o cirrhosis,ALB,2811,11.0285,0.9779,0.9228,3.314,0.8557
20,NASH w/o cirrhosis,ACTB,2811,0.0907,0.0832,0.0071,0.0258,0.0042
20,NASH w/o cirrhosis,GAPDH,2811,0.116,0.1014,0.0114,0.034,0.0079
20,NASH w/o cirrhosis,stress_mod,2811,0.1238,0.1099,0.0117,0.0381,0.0076
21,NASH w/o cirrhosis,FOS,2847,0.0028,0.0025,0.0004,0.0005,0.0
21,NASH w/o cirrhosis,JUN,2847,0.04,0.0365,0.0035,0.0094,0.0007
21,NASH w/o cirrhosis,JUNB,2847,0.0246,0.0235,0.0011,0.0049,0.0004
21,NASH w/o cirrhosis,JUND,2847,0.0825,0.0748,0.007,0.0213,0.0047
21,NASH w/o cirrhosis,ATF3,2847,0.0133,0.013,0.0004,0.0023,0.0
21,NASH w/o cirrhosis,DUSP1,2847,0.045,0.0429,0.0018,0.0082,0.0007
21,NASH w/o cirrhosis,HSPA1A,2847,0.0239,0.0232,0.0007,0.0059,0.0014
21,NASH w/o cirrhosis,HSPA1B,2847,0.0021,0.0021,0.0,0.0006,0.0
21,NASH w/o cirrhosis,GLUL,2847,0.3744,0.2013,0.0653,0.076,0.0219
21,NASH w/o cirrhosis,CYP3A4,2847,2.1963,0.4067,0.2455,0.4453,0.15
21,NASH w/o cirrhosis,CYP2E1,2847,6.8932,0.8275,0.7067,1.471,0.5404
21,NASH w/o cirrhosis,CYP1A2,2847,0.1201,0.0868,0.0225,0.0286,0.0065
21,NASH w/o cirrhosis,ADH4,2847,9.888,0.9498,0.8809,1.9582,0.7463
21,NASH w/o cirrhosis,AKR1D1,2847,2.66,0.719,0.504,0.5187,0.2067
21,NASH w/o cirrhosis,SLCO1B3,2847,7.4928,0.7636,0.6322,1.4665,0.4718
21,NASH w/o cirrhosis,ASS1,2847,2.1036,0.6558,0.4092,0.4385,0.1622
21,NASH w/o cirrhosis,CPS1,2847,16.2244,0.9684,0.9168,3.1647,0.8285
21,NASH w/o cirrhosis,PCK1,2847,2.8865,0.6927,0.5019,0.5952,0.2573
21,NASH w/o cirrhosis,ALDOB,2847,11.0625,0.9751,0.9259,2.1843,0.8238
21,NASH w/o cirrhosis,HAL,2847,0.8476,0.3404,0.1735,0.172,0.0563
21,NASH w/o cirrhosis,ARG1,2847,2.581,0.7875,0.5595,0.5072,0.2113
21,NASH w/o cirrhosis,ALB,2847,54.9501,1.0,1.0,13.2027,0.9982
21,NASH w/o cirrhosis,ACTB,2847,0.229,0.177,0.0351,0.0659,0.0165
21,NASH w/o cirrhosis,GAPDH,2847,0.3885,0.2736,0.0769,0.0982,0.0251
21,NASH w/o cirrhosis,stress_mod,2847,0.2343,0.1914,0.0341,0.0541,0.0086
22,NASH with cirrhosis,FOS,2073,0.0029,0.0029,0.0,0.0009,0.0005
22,NASH with cirrhosis,JUN,2073,0.0449,0.04,0.0043,0.0178,0.0041
22,NASH with cirrhosis,JUNB,2073,0.0048,0.0048,0.0,0.0023,0.0005
22,NASH with cirrhosis,JUND,2073,0.0294,0.026,0.0029,0.0101,0.0015
22,NASH with cirrhosis,ATF3,2073,0.015,0.014,0.001,0.0056,0.0005
22,NASH with cirrhosis,DUSP1,2073,0.0101,0.0101,0.0,0.0047,0.0005
22,NASH with cirrhosis,HSPA1A,2073,0.0159,0.0154,0.0005,0.0075,0.0015
22,NASH with cirrhosis,HSPA1B,2073,0.0092,0.0092,0.0,0.0038,0.0
22,NASH with cirrhosis,GLUL,2073,0.2045,0.1365,0.028,0.0748,0.0245
22,NASH with cirrhosis,CYP3A4,2073,0.8205,0.3319,0.15,0.3323,0.138
22,NASH with cirrhosis,CYP2E1,2073,6.0589,0.8664,0.7274,2.393,0.7101
22,NASH with cirrhosis,CYP1A2,2073,0.3628,0.2142,0.0753,0.1485,0.0578
22,NASH with cirrhosis,ADH4,2073,5.2176,0.9238,0.7892,1.9934,0.7807
22,NASH with cirrhosis,AKR1D1,2073,1.4896,0.6107,0.3348,0.5683,0.2612
22,NASH with cirrhosis,SLCO1B3,2073,5.795,0.8215,0.6377,2.3106,0.6043
22,NASH with cirrhosis,ASS1,2073,0.9339,0.5022,0.2209,0.3746,0.16
22,NASH with cirrhosis,CPS1,2073,5.7911,0.9436,0.8234,2.1653,0.8016
22,NASH with cirrhosis,PCK1,2073,0.0796,0.0656,0.0096,0.0378,0.0143
22,NASH with cirrhosis,ALDOB,2073,1.9518,0.7342,0.4414,0.7684,0.3563
22,NASH with cirrhosis,HAL,2073,0.4853,0.2576,0.1027,0.1839,0.0716
22,NASH with cirrhosis,ARG1,2073,0.7337,0.4448,0.1597,0.2839,0.1115
22,NASH with cirrhosis,ALB,2073,18.0888,1.0,0.9971,7.2908,0.998
22,NASH with cirrhosis,ACTB,2073,0.1114,0.0984,0.0121,0.0449,0.0133
22,NASH with cirrhosis,GAPDH,2073,0.0661,0.0574,0.0077,0.0256,0.0077
22,NASH with cirrhosis,stress_mod,2073,0.1322,0.1153,0.0135,0.0518,0.0107
3,NASH w/o cirrhosis,FOS,1441,0.0021,0.0021,0.0,0.0007,0.0
3,NASH w/o cirrhosis,JUN,1441,0.0534,0.0479,0.0049,0.0075,0.0007
3,NASH w/o cirrhosis,JUNB,1441,0.0201,0.018,0.0014,0.0032,0.0
3,NASH w/o cirrhosis,JUND,1441,0.1312,0.1173,0.0104,0.0172,0.0007
3,NASH w/o cirrhosis,ATF3,1441,0.0285,0.0271,0.0014,0.0028,0.0
3,NASH w/o cirrhosis,DUSP1,1441,0.0541,0.0507,0.0035,0.0063,0.0
3,NASH w/o cirrhosis,HSPA1A,1441,0.0354,0.0333,0.0021,0.0046,0.0
3,NASH w/o cirrhosis,HSPA1B,1441,0.0083,0.0083,0.0,0.0014,0.0
