donor,stage,source,gene,nCells,raw_mean,dm_mean,det1,det2
70,NASH w/o cirrhosis,needle_biopsy,HSPA1A,243,0.0206,0.0021,0.0165,0.0041
70,NASH w/o cirrhosis,needle_biopsy,HSPA1B,243,0.0082,0.001,0.0082,0.0
70,NASH w/o cirrhosis,needle_biopsy,stress_mod,243,0.6214,0.1008,0.3992,0.1523
71,NASH w/o cirrhosis,needle_biopsy,FOS,137,0.0073,0.0,0.0073,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUN,137,0.0146,0.0177,0.0146,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUNB,137,0.0292,0.0202,0.0292,0.0
71,NASH w/o cirrhosis,needle_biopsy,JUND,137,0.146,0.1086,0.1314,0.0146
71,NASH w/o cirrhosis,needle_biopsy,ATF3,137,0.0438,0.0303,0.0438,0.0
71,NASH w/o cirrhosis,needle_biopsy,DUSP1,137,0.0657,0.0278,0.0657,0.0
71,NASH w/o cirrhosis,needle_biopsy,HSPA1A,137,0.0,0.0,0.0,0.0
71,NASH w/o cirrhosis,needle_biopsy,HSPA1B,137,0.0,0.0,0.0,0.0
71,NASH w/o cirrhosis,needle_biopsy,stress_mod,137,0.3066,0.2096,0.2774,0.0292
72,NASH w/o cirrhosis,needle_biopsy,FOS,676,0.0178,0.002,0.0163,0.0015
72,NASH w/o cirrhosis,needle_biopsy,JUN,676,0.1509,0.0286,0.1124,0.0281
72,NASH w/o cirrhosis,needle_biopsy,JUNB,676,0.0533,0.0067,0.0429,0.0104
72,NASH w/o cirrhosis,needle_biopsy,JUND,676,0.2012,0.0404,0.1746,0.0207
72,NASH w/o cirrhosis,needle_biopsy,ATF3,676,0.0814,0.0172,0.0754,0.0059
72,NASH w/o cirrhosis,needle_biopsy,DUSP1,676,0.1243,0.0243,0.108,0.0133
72,NASH w/o cirrhosis,needle_biopsy,HSPA1A,676,0.0533,0.0078,0.0429,0.0104
72,NASH w/o cirrhosis,needle_biopsy,HSPA1B,676,0.0192,0.0031,0.0192,0.0
72,NASH w/o cirrhosis,needle_biopsy,stress_mod,676,0.7012,0.1324,0.4068,0.1598
73,NASH w/o cirrhosis,needle_biopsy,FOS,1071,0.0019,0.0,0.0019,0.0
73,NASH w/o cirrhosis,needle_biopsy,JUN,1071,0.0364,0.0036,0.0308,0.0037
73,NASH w/o cirrhosis,needle_biopsy,JUNB,1071,0.0233,0.0041,0.0224,0.0009
73,NASH w/o cirrhosis,needle_biopsy,JUND,1071,0.0598,0.0118,0.0588,0.0009
73,NASH w/o cirrhosis,needle_biopsy,ATF3,1071,0.0355,0.0072,0.0345,0.0009
73,NASH w/o cirrhosis,needle_biopsy,DUSP1,1071,0.0915,0.0147,0.0803,0.0084
73,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1071,0.014,0.001,0.0131,0.0009
73,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1071,0.0065,0.0012,0.0065,0.0
73,NASH w/o cirrhosis,needle_biopsy,stress_mod,1071,0.2689,0.0444,0.2035,0.0486
75,NASH with cirrhosis,needle_biopsy,FOS,444,0.0,0.0,0.0,0.0
75,NASH with cirrhosis,needle_biopsy,JUN,444,0.1014,0.0243,0.0721,0.0158
75,NASH with cirrhosis,needle_biopsy,JUNB,444,0.045,0.0053,0.036,0.0045
75,NASH with cirrhosis,needle_biopsy,JUND,444,0.1261,0.0219,0.1171,0.0068
75,NASH with cirrhosis,needle_biopsy,ATF3,444,0.0315,0.0041,0.0293,0.0023
75,NASH with cirrhosis,needle_biopsy,DUSP1,444,0.0608,0.0124,0.0518,0.0068
75,NASH with cirrhosis,needle_biopsy,HSPA1A,444,0.018,0.0018,0.018,0.0
